,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Location Good,Date Occurred (datetime),Zip Code
1688337,181406572,02/12/2018,02/10/2018,230,14,Pacific,1445,210,ROBBERY,1309 1300 0326 0429 0344,30.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,12700    CASWELL                      AV,,"(33.9988, -118.436)",True,2018-02-10,90066
1683397,181207360,02/14/2018,02/14/2018,2315,12,77th Street,1218,626,INTIMATE PARTNER - SIMPLE ASSAULT,0429 0444 1813 2000 2002,37.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,700 W  55TH                         ST,,"(33.9924, -118.2856)",True,2018-02-14,90037
1662841,180604836,01/15/2018,01/13/2018,930,6,Hollywood,635,310,BURGLARY,1601 1607 0329 0344 0321,,X,X,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,2100 N  CAHUENGA                     BL,,"(0, 0)",True,2018-01-13,
1691884,180906379,02/14/2018,02/14/2018,150,9,Van Nuys,911,210,ROBBERY,0344 0416 0906 0334 1822 0371 0429 0446 1402,28.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,FIRMAMENT                    ST,VANOWEN                      ST,"(34.1939, -118.4729)",True,2018-02-14,91406
1693732,181706694,02/26/2018,02/25/2018,1900,17,Devonshire,1768,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0321 1300,47.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,17300    HALSTED                      ST,,"(34.2448, -118.5117)",True,2018-02-25,91325
1684677,181905772,02/02/2018,02/01/2018,1600,19,Mission,1907,901,VIOLATION OF RESTRAINING ORDER,1402 0561,86.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901.0,,,,13200    HARDING                      ST,,"(34.3033, -118.4206)",True,2018-02-01,91342
1685957,180307009,02/15/2018,02/15/2018,600,3,Southwest,357,900,VIOLATION OF COURT ORDER,2000 1814 1813,29.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900.0,,,,1300 W  37TH                         ST,,"(34.021, -118.2977)",True,2018-02-15,90007
1692645,181208261,02/26/2018,02/09/2018,900,12,77th Street,1205,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,56.0,F,B,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,341.0,,,,1500 W  51ST                         PL,,"(33.996, -118.3024)",True,2018-02-09,90062
1677882,180905743,02/02/2018,02/01/2018,2045,9,Van Nuys,955,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,55.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,TYRONE                       AV,CHANDLER                     BL,"(34.1684, -118.4443)",True,2018-02-01,91401
1689408,181906522,02/16/2018,02/16/2018,2200,19,Mission,1987,946,OTHER MISCELLANEOUS CRIME,1701 0429 0561,67.0,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,946.0,,,,8600    MATILIJA                     AV,,"(34.2261, -118.4354)",True,2018-02-16,91402
1701467,180806879,03/03/2018,03/03/2018,200,8,West LA,853,900,VIOLATION OF COURT ORDER,0913,28.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,900.0,,,,1800    PURDUE                       AV,,"(34.0428, -118.4481)",True,2018-03-03,90025
1678337,181105335,01/31/2018,01/30/2018,2000,11,Northeast,1134,886,DISTURBING THE PEACE,1501,39.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,886.0,,,,3100    CARLYLE                      ST,,"(34.1058, -118.2354)",True,2018-01-30,90065
1657774,180900523,01/05/2018,01/04/2018,1900,9,Van Nuys,933,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1606 0307,43.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,6200    CEDROS                       AV,,"(34.1827, -118.4531)",True,2018-01-04,91411
1658487,181204574,01/05/2018,01/05/2018,1030,12,77th Street,1218,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344,17.0,X,X,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442.0,,,,5400 S  FIGUEROA                     ST,,"(33.9923, -118.287)",True,2018-01-05,90037
1702210,181106825,03/05/2018,03/05/2018,1100,11,Northeast,1139,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,740.0,,,,ARROYO SECO,YORK                         BL,"(34.1093, -118.1879)",True,2018-03-05,90042
1664542,181404902,01/16/2018,01/16/2018,1400,14,Pacific,1494,624,BATTERY - SIMPLE ASSAULT,0400,24.0,F,B,212.0,TRANSPORTATION FACILITY (AIRPORT),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400    WORLD                        WY,,"(33.9433, -118.4072)",True,2018-01-16,90045
1690270,180108249,02/28/2018,02/28/2018,645,1,Central,156,624,BATTERY - SIMPLE ASSAULT,1601 0416,65.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",True,2018-02-28,90013
1659218,181504425,01/09/2018,01/09/2018,2310,15,N Hollywood,1557,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1100 0329,29.0,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,5000    DENNY                        AV,,"(34.1613, -118.3648)",True,2018-01-09,91601
1669028,181305223,01/23/2018,01/23/2018,1130,13,Newton,1331,330,BURGLARY FROM VEHICLE,1609 1307 0344,37.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,3100 S  BROADWAY,,"(34.0215, -118.2723)",True,2018-01-23,90007
1658418,181204440,01/07/2018,01/06/2018,1400,12,77th Street,1273,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,9100 S  MANHATTAN                    PL,,"(33.9539, -118.3101)",True,2018-01-06,90047
1686082,180307279,02/18/2018,02/18/2018,1400,3,Southwest,358,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251 1822 1402,20.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,998.0,,,1000 W  34TH                         ST,,"(34.0243, -118.2876)",True,2018-02-18,90089
1682914,181006092,02/15/2018,02/15/2018,1200,10,West Valley,1018,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,19.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,15700    SATICOY                      ST,,"(34.2085, -118.4749)",True,2018-02-15,91406
1703160,181408330,03/12/2018,03/12/2018,715,14,Pacific,1414,310,BURGLARY,0358 2004 1267 0344,,M,X,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600    SANTA CLARA                  AV,,"(33.9925, -118.4665)",True,2018-03-12,90291
1691681,180805960,02/12/2018,02/10/2018,1645,8,West LA,849,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1606,39.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,331.0,,,,1200 S  CORNING                      ST,,"(34.0549, -118.3774)",True,2018-02-10,90035
1700274,180308647,03/11/2018,03/08/2018,1835,3,Southwest,301,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,47.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,2500 S  DUNSMUIR                     AV,,"(34.0335, -118.3592)",True,2018-03-08,90016
1700764,180507322,03/12/2018,03/11/2018,2200,5,Harbor,557,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,37.0,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,5TH,CABRILLO,"(33.7397, -118.2945)",True,2018-03-11,90731
1688783,181605809,02/16/2018,02/16/2018,130,16,Foothill,1621,440,THEFT PLAIN - PETTY ($950 & UNDER),1420 0344,40.0,M,W,229.0,CHECK CASHING*,,,IC,Invest Cont,440.0,,,,13600    VAN NUYS                     BL,,"(34.2627, -118.4347)",True,2018-02-16,91331
1687650,181106116,02/16/2018,02/16/2018,1545,11,Northeast,1199,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 1814 2000 0344 0329,48.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,800    SOLANO                       AV,,"(34.0782, -118.2345)",True,2018-02-16,90012
1671192,180106004,01/29/2018,01/29/2018,1930,1,Central,119,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0910 1402 0329 0311,38.0,M,W,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,745.0,998.0,,,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)",True,2018-01-29,90012
1672056,180505064,01/24/2018,01/22/2018,1830,5,Harbor,581,310,BURGLARY,0344 1273 1606 0321,81.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,2100 W  PASEO DEL MAR,,"(33.7194, -118.3216)",True,2018-01-22,90732
1665738,182104278,01/06/2018,01/03/2018,125,21,Topanga,2142,510,VEHICLE - STOLEN,,17.0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,23500    STYLES                       ST,,"(34.1839, -118.6391)",True,2018-01-03,91367
1682493,180805861,02/09/2018,02/01/2018,1200,8,West LA,884,354,THEFT OF IDENTITY,0100 1202 0929 1822,90.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10900 W  PICO                         BL,,"(34.0397, -118.4295)",True,2018-02-01,90064
1679818,181805553,01/28/2018,01/28/2018,625,18,Southeast,1822,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1822,46.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",312.0,PIPE/METAL PIPE,IC,Invest Cont,740.0,,,,OLIVE                        AV,CENTURY                      BL,"(33.9456, -118.2792)",True,2018-01-28,90003
1694083,181906548,02/19/2018,02/19/2018,600,19,Mission,1977,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,13600    WINGO                        ST,,"(34.2379, -118.4287)",True,2018-02-19,91331
1682350,180804239,01/06/2018,01/05/2018,800,8,West LA,841,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 1906 1216,37.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,1200    AMHERST                      AV,,"(34.0434, -118.4683)",True,2018-01-05,90025
1673780,181305172,01/22/2018,01/22/2018,900,13,Newton,1346,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 0361 0603 0421 0432 0906,31.0,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,1100 E  43RD                         ST,,"(34.0058, -118.2565)",True,2018-01-22,90011
1682902,181006041,02/14/2018,02/14/2018,1600,10,West Valley,1035,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1501 2004 0369 0334,34.0,M,H,108.0,PARKING LOT,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,VANOWEN                      ST,RESEDA                       BL,"(34.1939, -118.536)",True,2018-02-14,91335
1702171,181106801,03/05/2018,03/04/2018,800,11,Northeast,1145,510,VEHICLE - STOLEN,,17.0,,,104.0,DRIVEWAY,,,AO,Adult Other,510.0,,,,2600    LOCKSLEY                     PL,,"(34.1056, -118.2587)",True,2018-03-04,90039
1679924,181805933,02/04/2018,02/03/2018,2030,18,Southeast,1842,210,ROBBERY,0400 0302 1822 0324 0416 0411 1402 0342 0906 0371,17.0,M,O,402.0,MARKET,102.0,HAND GUN,IC,Invest Cont,210.0,998.0,,,10800 S  SAN PEDRO                    ST,,"(33.9347, -118.2761)",True,2018-02-03,90061
1688429,181406993,02/19/2018,02/19/2018,600,14,Pacific,1445,624,BATTERY - SIMPLE ASSAULT,0416,51.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3900    BEETHOVEN                    ST,,"(33.998, -118.4399)",True,2018-02-19,90066
1665879,182104700,01/15/2018,01/14/2018,2030,21,Topanga,2136,310,BURGLARY,1609 0321,50.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,7200    REMMET                       AV,,"(34.201, -118.6003)",True,2018-01-14,91303
1669809,181704858,01/18/2018,01/18/2018,1240,17,Devonshire,1771,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1815 0443,48.0,M,H,721.0,HIGH SCHOOL,,,AO,Adult Other,930.0,,,,21000    PLUMMER                      ST,,"(34.2427, -118.5907)",True,2018-01-18,91311
1676939,180405586,02/05/2018,02/05/2018,1200,4,Hollenbeck,465,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0444 0416 0408 1813 1243,19.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,400 S  CONCORD                      ST,,"(34.033, -118.2002)",True,2018-02-05,90063
1672739,180804157,01/04/2018,01/03/2018,2000,8,West LA,832,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1216,31.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,331.0,,,,11700    MAYFIELD                     AV,,"(34.0518, -118.4634)",True,2018-01-03,90049
1656567,180104565,01/09/2018,01/08/2018,730,1,Central,185,310,BURGLARY,1803 0344 0325 0352 1605,,F,A,405.0,CLOTHING STORE,,,IC,Invest Cont,310.0,,,,100 E  9TH                          ST,,"(34.0416, -118.255)",True,2018-01-08,90015
1665187,181804730,01/13/2018,01/13/2018,1145,18,Southeast,1849,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",2000 1814 1300 0329,21.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",207.0,OTHER KNIFE,AO,Adult Other,740.0,,,,11500 S  MONA                         BL,,"(33.9327, -118.2351)",True,2018-01-13,90059
1677826,180805858,02/09/2018,02/06/2018,800,8,West LA,827,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913 0361 0603,28.0,F,W,507.0,CONDOMINIUM/TOWNHOUSE,,,AO,Adult Other,956.0,,,,700 S  BARRINGTON                   AV,,"(34.0563, -118.4676)",True,2018-02-06,90049
1669678,181604745,01/19/2018,01/19/2018,1900,16,Foothill,1638,900,VIOLATION OF COURT ORDER,1501,23.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,10400    FERNGLEN                     AV,,"(34.2578, -118.2942)",True,2018-01-19,91042
1668401,181004962,01/22/2018,01/13/2018,600,10,West Valley,1031,354,THEFT OF IDENTITY,0377 1822 0930,28.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6500    CORBIN                       AV,,"(34.1885, -118.5622)",True,2018-01-13,91335
1673270,181100542,01/27/2018,01/27/2018,2320,11,Northeast,1136,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1243 1407 1813 2000 1419,28.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,998.0,,,4800    BALTIMORE                    ST,,"(34.1194, -118.2114)",True,2018-01-27,90042
1673995,181404557,01/10/2018,01/10/2018,700,14,Pacific,1435,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",2004 1402 0329,23.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,998.0,,,12300    VENICE                       BL,,"(34.0111, -118.4293)",True,2018-01-10,90066
1682972,181105814,02/11/2018,02/10/2018,2015,11,Northeast,1102,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0408 1814,34.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,4000    EDENHURST                    AV,,"(34.1245, -118.2666)",True,2018-02-10,90039
1654802,181304028,01/01/2018,01/01/2018,1545,13,Newton,1394,310,BURGLARY,1606 0344,40.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310.0,,,,100 E  68TH                         ST,,"(33.9779, -118.2739)",True,2018-01-01,90003
1679503,181605314,02/05/2018,01/29/2018,900,16,Foothill,1663,510,VEHICLE - STOLEN,,17.0,,,104.0,DRIVEWAY,,,AO,Adult Other,510.0,,,,12200    TRUESDALE                    ST,,"(34.241, -118.3987)",True,2018-01-29,91352
1690463,180207062,02/26/2018,02/25/2018,2330,2,Rampart,237,310,BURGLARY,1402,32.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,998.0,,,200    COLUMBIA                     AV,,"(34.0612, -118.2628)",True,2018-02-25,90026
1693064,181407356,02/26/2018,02/23/2018,1500,14,Pacific,1428,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,17.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,10900    PALMS                        BL,,"(34.0265, -118.4184)",True,2018-02-23,90034
1686575,180605190,01/17/2018,01/13/2018,1200,6,Hollywood,629,354,THEFT OF IDENTITY,1817,62.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2400    WILD OAK                     DR,,"(34.1141, -118.3116)",True,2018-01-13,90068
1657418,180604427,01/08/2018,01/08/2018,1020,6,Hollywood,668,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0325,17.0,X,X,407.0,HARDWARE/BUILDING SUPPLY,,,IC,Invest Cont,420.0,,,,5600 W  SUNSET                       BL,,"(34.0981, -118.3113)",True,2018-01-08,90028
1692866,181307316,02/28/2018,01/06/2018,300,13,Newton,1307,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,75.0,F,H,804.0,GREYHOUND OR INTERSTATE BUS,,,IC,Invest Cont,440.0,,,,7TH                          ST,ALAMEDA                      ST,"(34.035, -118.2386)",True,2018-01-06,90021
1678021,180906029,02/05/2018,02/05/2018,1530,9,Van Nuys,911,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 0561,47.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",306.0,ROCK/THROWN OBJECT,AO,Adult Other,745.0,,,,7000    FIRMAMENT                    AV,,"(34.1975, -118.4727)",True,2018-02-05,91406
1700814,180507439,03/15/2018,03/12/2018,1400,5,Harbor,587,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,59.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,3200 S  DENISON                      AV,,"(33.7152, -118.2889)",True,2018-03-12,90731
1669167,181405183,01/21/2018,01/20/2018,2330,14,Pacific,1438,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1608,51.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,3700    MIDVALE                      AV,,"(34.0185, -118.4124)",True,2018-01-20,90034
1699578,180109026,03/08/2018,03/08/2018,1730,1,Central,111,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,48.0,M,W,738.0,LIBRARY,,,IC,Invest Cont,440.0,,,,600 N  HILL                         ST,,"(34.0591, -118.2412)",True,2018-03-08,90012
1696797,181006763,03/02/2018,03/02/2018,205,10,West Valley,1044,330,BURGLARY FROM VEHICLE,1609 0344 0321,61.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,5800    RESEDA                       BL,,"(34.1763, -118.536)",True,2018-03-02,91356
1681041,180107280,02/15/2018,02/12/2018,800,1,Central,148,624,BATTERY - SIMPLE ASSAULT,0416,23.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 E  5TH                          ST,,"(34.0438, -118.2416)",True,2018-02-12,90013
1663297,180904542,01/11/2018,01/09/2018,430,9,Van Nuys,938,510,VEHICLE - STOLEN,,17.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,6300    WOODMAN                      AV,,"(34.1849, -118.4312)",True,2018-01-09,91401
1669769,181704921,01/21/2018,01/20/2018,1930,17,Devonshire,1779,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,15700    NOGA                         WY,,"(34.2422, -118.4739)",True,2018-01-20,91343
1702020,181007161,03/11/2018,03/11/2018,730,10,West Valley,1003,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,49.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,7800    RESEDA                       BL,,"(34.2148, -118.5404)",True,2018-03-11,91335
1696387,180806023,02/13/2018,01/31/2018,2000,8,West LA,808,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1606 0344 0352 1221,35.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,9900    BEVERLY GROVE                DR,,"(34.0943, -118.4242)",True,2018-01-31,90210
1690471,180207086,02/26/2018,02/22/2018,2200,2,Rampart,249,330,BURGLARY FROM VEHICLE,0344 1609,37.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,600 S  BIXEL                        ST,,"(0, 0)",True,2018-02-22,
1666895,180205072,01/22/2018,01/22/2018,1255,2,Rampart,275,440,THEFT PLAIN - PETTY ($950 & UNDER),0906 0325 1309 1300,17.0,X,X,301.0,GAS STATION,,,IC,Invest Cont,440.0,,,,1600 W  OLYMPIC                      BL,,"(34.0492, -118.2742)",True,2018-01-22,90015
1657813,180904186,01/05/2018,01/04/2018,2300,9,Van Nuys,933,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,14600    SYLVAN                       ST,,"(34.1847, -118.4509)",True,2018-01-04,91411
1656539,180104524,01/09/2018,01/02/2018,1000,1,Central,128,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,27.0,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,440.0,,,,300 E  1ST                          ST,,"(34.0504, -118.2409)",True,2018-01-02,90012
1697316,181208691,03/05/2018,03/05/2018,1300,12,77th Street,1232,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0446 0416 0319 0321 1243,59.0,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3600 W  58TH                         PL,,"(33.9881, -118.3352)",True,2018-03-05,90043
1691357,180607246,02/27/2018,02/27/2018,2100,6,Hollywood,648,626,INTIMATE PARTNER - SIMPLE ASSAULT,2004 2000 0416 1218,30.0,F,H,110.0,FREEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,WILTON,HAROLD,"(34.0993, -118.3136)",True,2018-02-27,90028
1697325,181208720,02/24/2018,02/24/2018,200,12,77th Street,1243,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,20.0,F,H,102.0,SIDEWALK,,,IC,Invest Cont,745.0,,,,1800 W  65TH                         ST,,"(33.9806, -118.309)",True,2018-02-24,90047
1697071,181106887,03/06/2018,03/04/2018,600,11,Northeast,1181,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,29.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,1300 N  ALVARADO                     ST,,"(34.0791, -118.2626)",True,2018-03-04,90026
1655194,181804106,01/02/2018,01/02/2018,200,18,Southeast,1862,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,48.0,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,200 E  120TH                        ST,,"(33.9237, -118.2717)",True,2018-01-02,90061
1692445,181206665,02/05/2018,02/05/2018,1030,12,77th Street,1257,625,OTHER ASSAULT,1309 0356 2024 1313 0326 0913 2029,48.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,625.0,,,,FIGUEROA,77TH                         ST,"(33.9698, -118.2827)",True,2018-02-05,90044
1673458,181105307,01/31/2018,01/30/2018,1600,11,Northeast,1172,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,MOHAWK,BERKELEY,"(34.0845, -118.2622)",True,2018-01-30,90026
1665955,182104845,01/17/2018,01/17/2018,1310,21,Topanga,2133,624,BATTERY - SIMPLE ASSAULT,0913 0446 0429 0603,48.0,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7200    MAYNARD                      AV,,"(34.201, -118.6213)",True,2018-01-17,91307
1687248,180906572,02/18/2018,02/16/2018,1640,9,Van Nuys,905,330,BURGLARY FROM VEHICLE,0344,40.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,7200    VAN NUYS                     BL,,"(34.2048, -118.4531)",True,2018-02-16,91405
1701700,180900658,03/11/2018,03/10/2018,2300,9,Van Nuys,939,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0913 1414,32.0,M,W,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,6300    MORSE                        AV,,"(34.186, -118.4159)",True,2018-03-10,91606
1693558,181606290,02/28/2018,02/26/2018,515,16,Foothill,1656,320,"BURGLARY, ATTEMPTED",0358 0321 0216 1420 1609,17.0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,320.0,,,,8200    FOOTHILL                     BL,,"(34.2597, -118.3114)",True,2018-02-26,91040
1677518,180705572,02/03/2018,02/03/2018,1435,7,Wilshire,724,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,17.0,M,O,415.0,THE GROVE,,,IC,Invest Cont,440.0,,,,100    THE GROVE                    DR,,"(34.0761, -118.3563)",True,2018-02-03,90048
