PETIT LARCENY,85513
HARRASSMENT 2,57615
ASSAULT 3 & RELATED OFFENSES,53636
GRAND LARCENY,45606
CRIMINAL MISCHIEF & RELATED OF,44177
DANGEROUS DRUGS,29435
OFF. AGNST PUB ORD SENSBLTY &,27151
FELONY ASSAULT,20387
ROBBERY,19172
BURGLARY,17509
MISCELLANEOUS PENAL LAW,13119
DANGEROUS WEAPONS,11677
OFFENSES AGAINST PUBLIC ADMINI,10700
INTOXICATED & IMPAIRED DRIVING,8238
GRAND LARCENY OF MOTOR VEHICLE,7377
VEHICLE AND TRAFFIC LAWS,6101
THEFT-FRAUD,5233
SEX CRIMES,5107
CRIMINAL TRESPASS,4987
FORGERY,4165
FRAUDS,3376
POSSESSION OF STOLEN PROPERTY,3009
OFFENSES INVOLVING FRAUD,1529
UNAUTHORIZED USE OF A VEHICLE,1511
RAPE,1378
OFFENSES AGAINST THE PERSON,1370
ARSON,1203
OTHER OFFENSES RELATED TO THEF,1133
ADMINISTRATIVE CODE,1126
THEFT OF SERVICES,570
OTHER STATE LAWS (NON PENAL LA,390
MURDER & NON-NEGL. MANSLAUGHTER,335
NYS LAWS-UNCLASSIFIED FELONY,315
BURGLAR'S TOOLS,290
FRAUDULENT ACCOSTING,192
KIDNAPPING & RELATED OFFENSES,176
OFFENSES RELATED TO CHILDREN,156
GAMBLING,132
OFFENSES AGAINST PUBLIC SAFETY,94
DISORDERLY CONDUCT,88
PETIT LARCENY OF MOTOR VEHICLE,80
ALCOHOLIC BEVERAGE CONTROL LAW,65
PROSTITUTION & RELATED OFFENSES,62
CHILD ABANDONMENT/NON SUPPORT,38
JOSTLING,30
OTHER STATE LAWS,14
ENDAN WELFARE INCOMP,14
"LOITERING/GAMBLING (CARDS, DIC",12
HOMICIDE-NEGLIGENT-VEHICLE,11
ESCAPE 3,10
UNLAWFUL POSS. WEAP. ON SCHOOL,10
NEW YORK CITY HEALTH CODE,10
ANTICIPATORY OFFENSES,7
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",6
INTOXICATED/IMPAIRED DRIVING,5
DISRUPTION OF A RELIGIOUS SERV,5
OTHER TRAFFIC INFRACTION,3
ADMINISTRATIVE CODES,1
LOITERING,1
